role,n,time
P,100,279828751
C,28,166025721
P,80358,279957179
C,63272,166206030
P,47,280044709
P,20039,280156858
C,92929,166333604
P,88,280275137
C,29,166431268
P,53239,280364284
C,78,166480980
P,56288,280453277
P,40,280483738
C,80148,166417896
C,47,166342396
P,19,280649617
C,42,166509361
P,22,280780631
P,83,280933342
P,60,280987343
P,21,281092462
P,68,281327536
P,90861,281409996
C,65817,167556976
P,35443,281487074
C,88,167597173
P,69,281580341
P,98,281598464
C,27,167516424
C,43,167612875
P,29,281793373
C,49,167788210
P,38065,281891670
C,79539,167863466
C,81538,167873067
P,5,281958350
P,36700,281886350
C,88,167820365
C,13639,167886474
P,13,281945250
P,60,282062595
C,76,168031595
P,68,281998915
P,65,282044995
P,41,282116306
C,97,168044025
P,13,282021776
P,8959,282150810
P,60,282251209
P,28,282293963
P,52,282371999
P,36,282470946
P,1,282598743
P,67717,282809371
C,71016,169270790
P,62,282717344
P,45,282831986
P,12,282958970
P,62,283012357
P,54901,283125160
C,32498,170032266
P,14800,283195391
P,23649,283278516
P,36,283435088
P,46,283536365
P,43,283591340
P,55,283639154
P,86,283636015
P,8032,283732747
P,79,283774968
P,7,283830645
P,36,283823400
P,91,283883096
P,15,284053574
P,81,284122684
P,55,284211876
P,58,284266775
P,39,284356764
P,69,284460579
P,97483,284501592
C,91624,172401825
P,32,284712810
C,93,172370981
P,35,284716516
P,98009,284820755
C,44,172480793
C,93767,172423752
C,31,172438853
P,95,285036342
C,95,172412594
C,85,172383259
P,86,285374253
C,43661,172623431
P,41,285429831
C,99,172661320
P,18,285460839
C,24275,172668030
P,53,285547762
P,40871,285445528
C,59,172642215
P,51,285632482
P,58,285672730
C,6,172778516
P,81,285668154
C,82,172846136
P,83,285709139
C,65,172845235
C,844,172751236
P,31,285865837
P,87,285927094
P,54,286004261
P,16,286057005
P,89,286100293
P,39,286097718
P,53,286140140
P,19,286181176
P,26702,286235840
C,75388,173752738
P,97,286263427
C,62,173878860
P,14,286271005
P,99795,286315920
P,2,286308219
C,22747,173981297
P,25160,286434018
C,32591,173829609
C,14,173881867
P,38,286743397
P,66,286536843
C,89,174199420
P,28,286931474
C,56,174256591
P,2447,286930715
P,10,287007072
P,11,286986744
C,77,174231710
P,65,287013042
P,7,287070329
C,42453,174405810
C,64,174394642
P,36,287019654
P,30,287177705
P,22693,287256642
C,85,174549876
C,50482,173958713
P,57,287320648
C,13,166092262
P,26,287387982
P,97,287333614
P,11,287393357
P,64440,287387300
C,32,166198044
C,67,166307112
P,98,287601249
C,53537,166432127
P,90,287601137
P,64,287630347
C,37,166588741
P,83,287628582
C,66,166553678
C,25,166611412
P,73,287639180
P,86,287679315
P,42,287624032
P,68898,287807596
C,98,166704767
C,64,166707227
C,35278,166984401
P,16,287655490
P,20,288077505
C,53,167118513
C,96,167108195
P,85,288305743
C,65,167211671
P,49,288194137
C,14416,167379589
P,10,288323100
C,86,167104689
P,2326,288559529
P,33,288611060
C,64,167447940
P,14,288669959
P,39,288709852
P,87,288672945
P,65,288501210
P,40,288533697
P,18,288514085
P,71,288561253
P,91,288562274
